,code,name
0,00001,长和
1,00002,中电控股
2,00003,香港中华煤气
3,00004,九龙仓集团
4,00005,汇丰控股
5,00006,电能实业
6,00007,凯富能源
7,00008,电讯盈科
8,00009,九号运通
9,00010,恒隆集团
10,00011,恒生银行
11,00012,恒基地产
12,00013,和记黄埔
13,00014,希慎兴业
14,00015,盈信控股
15,00016,新鸿基地产
16,00017,新世界发展
17,00018,东方报业集团
18,00019,太古股份公司A
19,00020,会德丰
20,00021,大中华地产控股
21,00022,茂盛控股
22,00023,东亚银行
23,00024,宝威控股
24,00025,CHEVALIERINT'L
25,00026,中华汽车
26,00027,银河娱乐
27,00028,天安
28,00029,达力集团
29,00030,万隆控股集团
30,00031,航天控股
31,00032,港通控股
32,00033,亚投金融集团
33,00034,九龙建业
34,00035,远东发展
35,00036,远东控股国际
36,00037,远东酒店实业
37,00038,第一拖拉机股份
38,00039,中国北大荒
39,00040,金山工业
40,00041,鹰君
41,00042,东北电气
42,00043,卜蜂国际
43,00044,香港飞机工程
44,00045,大酒店
45,00046,科联系统
46,00047,合兴集团
47,00048,中国汽车内饰
48,00049,会德丰地产
49,00050,香港小轮(集团)
50,00051,海港企业
51,00052,FAIRWOODHOLD
52,00053,国浩集团
53,00054,合和实业
54,00055,中星集团控股
55,00056,联合地产(香港)
56,00057,震雄集团
57,00058,新威国际
58,00059,天誉置业
59,00060,香港食品投资
60,00061,北亚资源
61,00062,载通
62,00063,荣丰国际
63,00064,结好控股
64,00065,弘海高新资源
65,00066,港铁公司
66,00067,旭光高新材料
67,00068,利兴发展
68,00069,香格里拉(亚洲)
69,00070,海王集团
70,00071,美丽华酒店
71,00072,现代传播
72,00073,亚洲果业
73,00074,长城科技股份
74,00075,渝太地产
75,00076,南海石油
76,00077,进智公共交通
77,00078,REGALINT'L
78,00079,世纪建业
79,00080,中国新经济投资
80,00081,中国海外宏洋集团
81,00082,第一视频
82,00083,信和置业
83,00084,宝光实业
84,00085,中国电子
85,00086,新鸿基公司
86,00087,太古股份公司B
87,00088,TAICHEUNGHOLD
88,00089,大生地产
89,00090,琥珀能源
90,00091,标准资源控股
91,00092,CHAMPIONTECH
92,00093,TERMBRAYIND
93,00094,绿心集团
94,00095,绿景中国地产
95,00096,YUSEI
96,00097,恒基发展
97,00098,兴发铝业
98,00099,王氏国际
99,00100,白马户外媒体
100,00101,恒隆地产
101,00102,凯升控股
102,00103,首长宝佳
103,00104,ASIACOMMHOLD
104,00105,凯联国际酒店
105,00106,朗诗绿色地产
106,00107,四川成渝高速公路
107,00108,国锐地产
108,00109,天成国际
109,00110,中国长远
110,00111,信达国际控股
111,00112,勒泰商业地产
112,00113,迪生创建
113,00114,HERALDHOLD
114,00115,钧濠集团
115,00116,周生生
116,00117,天利控股集团
117,00118,大同机械
118,00119,保利置业集团
119,00120,COSMOPOLINT'L
120,00121,卜蜂莲花
121,00122,鳄鱼恤
122,00123,越秀地产
123,00124,粤海置地
124,00125,新兴光学
125,00126,佳宁娜
126,00127,华人置业
127,00128,安宁控股
128,00129,泛海集团
129,00130,慕诗国际
130,00131,卓能(集团)
131,00132,中国兴业控股
132,00133,招商局中国基金
133,00135,昆仑能源
134,00136,恒腾网络
135,00137,金辉集团
136,00138,中建富通
137,00139,中国软实力
138,00140,三元集团
139,00141,大中华集团
140,00142,第一太平
141,00143,GLOBALTECH
142,00144,招商局港口
143,00145,香港建屋贷款
144,00146,TAIPINGCARPET
145,00147,超越集团
146,00148,建滔化工
147,00149,中国农产品交易
148,00151,中国旺旺
149,00152,深圳国际
150,00153,中国赛特
151,00154,北京控股环境集团
152,00155,中国源畅
153,00156,力宝华润
154,00157,自然美
155,00158,万邦投资
156,00159,布莱克万矿业
157,00160,汉国置业
158,00161,中航国际控股
159,00162,世纪金花
160,00163,英皇国际
161,00164,中国宝力科技
162,00165,中国光大控股
163,00166,新时代能源
164,00167,IDTINT'L
165,00168,青岛啤酒股份
166,00169,万达酒店发展
167,00170,中国资本
168,00171,银建国际
169,00172,金榜集团
170,00173,嘉华国际
171,00174,盛洋投资
172,00175,吉利汽车
173,00176,联太工业
174,00177,江苏宁沪高速公路
175,00178,莎莎国际
176,00179,德昌电机控股
177,00180,开达集团
178,00181,闽港控股
179,00182,协合新能源
180,00183,宏辉集团
181,00184,激成投资
182,00185,正恒国际控股
183,00186,GRANDEHOLDINGS
184,00187,京城机电股份
185,00188,新华汇富金融
186,00189,东岳集团
187,00190,香港建设(控股)
188,00191,丽新国际
189,00192,圣安娜
190,00193,冠中地产
191,00194,廖创兴企业
192,00195,利海资源
193,00196,宏华集团
194,00197,亨泰
195,00198,星美控股
196,00199,德祥地产
197,00200,新濠国际发展
198,00201,华大酒店
199,00202,润中国际控股
200,00203,骏威汽车
201,00204,中国投资开发
202,00205,财讯传媒
203,00206,TSC集团
204,00207,大悦城地产
205,00208,保利达资产
206,00209,瀛晟科学
207,00210,达芙妮国际
208,00211,STYLANDHOLD
209,00212,NANYANGHOLD
210,00213,NATIONALELECH
211,00214,汇汉控股
212,00215,和记电讯香港
213,00216,建业实业
214,00217,中国诚通发展集团
215,00218,申万宏源
216,00219,顺豪物业
217,00220,统一企业中国
218,00221,易易壹金融
219,00222,闽信集团
220,00223,神州资源
221,00224,建生国际
222,00225,博富临置业
223,00226,力宝
224,00227,第一上海
225,00228,中能控股
226,00229,利民实业
227,00230,五矿地产
228,00231,平安证券集团控股
229,00232,中国航空工业国际
230,00233,铭源医疗
231,00234,新世纪集团
232,00235,中策集团
233,00236,香港生力啤
234,00237,安全货仓
235,00238,长兴国际
236,00239,白花油
237,00240,利基控股
238,00241,阿里健康
239,00242,信德集团
240,00243,QPLINT'L
241,00244,先施
242,00245,中国民生金融
243,00246,瑞金矿业
244,00247,TSTPROPERTIES
245,00248,香港通讯国际控股
246,00249,哈尔滨啤酒集团
247,00250,中国数码信息
248,00251,爪哇控股
249,00252,华信地产财务
250,00253,顺豪控股
251,00254,国家联合资源
252,00255,龙记集团
253,00256,冠城钟表珠宝
254,00257,中国光大国际
255,00258,汤臣集团
256,00259,亿都(国际控股)
257,00260,幸福控股
258,00261,中建置地
259,00262,迪臣发展国际
260,00263,高富集团控股
261,00264,中玺国际
262,00265,东胜中国
263,00266,天德地产
264,00267,中信股份
265,00268,金蝶国际
266,00269,中国资源交通
267,00270,粤海投资
268,00271,丹枫控股
269,00272,瑞安房地产
270,00273,民信金控
271,00274,中富资源
272,00275,锦兴集团
273,00276,蒙古能源
274,00277,太兴置业
275,00278,华厦置业
276,00279,民众金服
277,00280,景福集团
278,00281,川河集团
279,00282,壹传媒
280,00283,高银地产
281,00285,比亚迪电子
282,00286,同佳健康
283,00287,永发置业
284,00288,万洲国际
285,00289,WINGONCO
286,00290,中国富强金融
287,00291,华润啤酒
288,00292,泛海酒店
289,00293,国泰航空
290,00294,长江制衣
291,00295,江山控股
292,00296,英皇娱乐酒店
293,00297,中化化肥
294,00298,庄士中国
295,00299,新体育
296,00300,昆明机床
297,00301,新世界信息科技
298,00302,永亨银行
299,00303,VTECHHOLDINGS
300,00304,宜进利(集团)
301,00305,五菱汽车
302,00306,冠忠巴士集团
303,00307,优派能源发展
304,00308,香港中旅
305,00309,新华通讯频媒
306,00310,嘉进投资国际
307,00311,联泰控股
308,00312,岁宝百货
309,00313,裕田中国
310,00315,数码通电讯
311,00316,东方海外国际
312,00317,中船防务
313,00318,黄河实业
314,00319,勤美达国际
315,00320,金宝通
316,00321,德永佳集团
317,00322,康师傅控股
318,00323,马鞍山钢铁股份
319,00325,北京燕化石油化工
320,00326,中国星集团
321,00327,百富环球
322,00328,ALCOHOLDINGS
323,00329,叁龙国际
324,00330,思捷环球
325,00331,丰盛机电
326,00332,元亨燃气
327,00333,黛丽斯国际
328,00334,TCL显示科技
329,00335,美建集团
330,00336,华宝国际
331,00337,绿地香港
332,00338,上海石油化工股份
333,00339,安利时投资
334,00340,中国矿业
335,00341,大家乐集团
336,00342,新海能源
337,00343,文化传信
338,00345,VITASOYINT'L
339,00346,延长石油国际
340,00347,鞍钢股份
341,00348,海尔智能健康
342,00349,工银亚洲
343,00350,经纬纺织机械股份
344,00351,亚洲能源物流
345,00352,富阳
346,00353,能源国际投资
347,00354,中国软件国际
348,00355,世纪城市国际
349,00356,鼎立资本
350,00357,航基股份
351,00358,江西铜业股份
352,00359,海升果汁
353,00360,新焦点
354,00361,顺龙控股
355,00362,中国天化工
356,00363,上海实业控股
357,00364,坪山茶业
358,00365,日东科技
359,00366,陆氏集团(越南)
360,00367,庄士机构国际
361,00368,中外运航运
362,00369,永泰地产
363,00370,国华
364,00371,北控水务集团
365,00372,德祥企业
366,00373,联合集团
367,00374,四洲集团
368,00375,YGMTRADING
369,00376,瑞东集团
370,00377,华君控股
371,00378,五龙动力
372,00379,恒嘉融资租赁
373,00380,冠力国际
374,00381,侨雄国际
375,00382,威灵控股
376,00383,中国医疗网络
377,00384,中国燃气
378,00385,建联集团
379,00386,中国石油化工股份
380,00387,力丰(集团)
381,00388,香港交易所
382,00389,通天酒业
383,00390,中国中铁
384,00391,美亚娱乐资讯
385,00392,北京控股
386,00393,旭日企业
387,00394,源库资源
388,00395,中国智能集团
