,code,name
0,201000,R003
1,201001,R007
2,201002,R014
3,201003,R028
4,201004,R091
5,201005,R182
6,201008,R001
7,201009,R002
8,201010,R004
9,202001,RC001
10,202003,RC003
11,202007,RC007
12,203007,0501R007
13,203008,0501R028
14,203009,0501R091
15,203016,0504R007
16,203017,0504R028
17,203018,0504R091
18,203019,0505R007
19,203020,0505R028
20,203021,0505R091
21,203031,0509R007
22,203032,0509R028
23,203033,0509R091
24,203040,0512R007
25,203041,0512R028
26,203042,0512R091
27,203043,0513R007
28,203044,0513R028
29,203045,0513R091
30,203049,0601R007
31,203050,0601R028
32,203051,0601R091
33,203052,0603R007
34,203053,0603R028
35,203054,0603R091
36,204001,GC001
37,204002,GC002
38,204003,GC003
39,204004,GC004
40,204007,GC007
41,204014,GC014
42,204028,GC028
43,204091,GC091
44,204182,GC182
45,500001,基金金泰
46,500002,基金泰和
47,500003,基金安信
48,500005,基金汉盛
49,500006,基金裕阳
50,500007,基金景阳
51,500008,基金兴华
52,500009,基金安顺
53,500010,基金金元
54,500011,基金金鑫
55,500013,基金安瑞
56,500015,基金汉兴
57,500016,基金裕元
58,500017,基金景业
59,500018,基金兴和
60,500019,基金普润
61,500021,基金金鼎
62,500025,基金汉鼎
63,500028,基金兴业
64,500029,基金科讯
65,500035,基金汉博
66,500038,基金通乾
67,500039,基金同德
68,500056,基金科瑞
69,500058,基金银丰
70,501000,国金鑫新
71,501001,财通精选
72,501002,能源互联
73,501003,长信优选
74,501005,精准医疗
75,501007,互联医疗
76,501008,互联医C
77,501009,生物科技
78,501010,生物科C
79,501011,中药基金
80,501012,中药C
81,501015,财通升级
82,501016,券商基金
83,501017,国泰融丰
84,501018,南方原油
85,501019,军工基金
86,501020,国企改
87,501021,香港中小
88,501022,银华鑫盛
89,501023,港中小企
90,501025,香港银行
91,501026,财通福享
92,501027,国泰融信
93,501028,财通福瑞
94,501029,红利基金
95,501030,环境治理
96,501031,环境C
97,501032,财通福盛
98,501035,创金睿选
99,501036,中证500A
100,501037,中证500C
101,501038,银华明择
102,501039,添富睿丰
103,501040,添富睿C
104,501043,沪深300A
105,501045,沪深300C
106,501046,财通福鑫
107,501047,全指证券
108,501048,证券C
109,501049,东证睿玺
110,501050,50AH
111,501051,圆信汇利
112,501053,东证目优
113,501054,东证睿泽
114,501057,新能源车
115,501058,新能车C
116,501059,国企红利
117,501060,金选300A
118,501061,金选300C
119,501062,南方瑞合
120,501067,富时AH50
121,501068,AH50C
122,501106,十年国开
123,501300,美元债
124,501301,香港大盘
125,501302,恒生联接
126,501303,恒生中型
127,501305,港股高息
128,501306,港股高C
129,501307,银河高股
130,501309,港股通
131,501310,价值基金
132,502000,500等权
133,502001,500等权A
134,502002,500等权B
135,502003,军工分级
136,502004,军工A
137,502005,军工B
138,502006,国企改革
139,502007,国企改A
140,502008,国企改B
141,502010,证券分级
142,502011,证券A
143,502012,证券B
144,502013,一带一路
145,502014,一带一A
146,502015,一带一B
147,502016,带路分级
148,502017,带路A
149,502018,带路B
150,502020,国金50
151,502021,国金50A
152,502022,国金50B
153,502023,钢铁分级
154,502024,钢铁A
155,502025,钢铁B
156,502026,新丝路
157,502027,新丝路A
158,502028,新丝路B
159,502031,高铁A
160,502032,高铁B
161,502036,互联金融
162,502037,网金A
163,502038,网金B
164,502040,上50分级
165,502041,上50A
166,502042,上50B
167,502048,50分级
168,502049,上证50A
169,502050,上证50B
170,502053,券商分级
171,502054,券商A
172,502055,券商B
173,502056,医疗分级
174,502057,医疗A
175,502058,医疗B
176,505888,嘉实元和
177,510010,治理ETF
178,510020,超大ETF
179,510030,价值ETF
180,510050,50ETF
181,510060,央企ETF
182,510070,民企ETF
183,510090,责任ETF
184,510110,周期ETF
185,510120,非周ETF
186,510130,中盘ETF
187,510150,消费ETF
188,510160,小康ETF
189,510170,商品ETF
190,510180,180ETF
191,510190,龙头ETF
192,510210,综指ETF
193,510220,中小ETF
194,510230,金融ETF
195,510260,新兴ETF
196,510270,国企ETF
197,510280,成长ETF
198,510290,380ETF
199,510300,300ETF
200,510310,HS300ETF
201,510330,华夏300
202,510360,广发300
203,510380,国寿300
204,510390,平安300
205,510410,资源ETF
206,510420,180EWETF
207,510430,50等权
208,510440,500沪市
209,510450,180高ETF
210,510500,500ETF
211,510510,广发500
212,510520,诺安500
213,510550,方正500
214,510560,国寿500
215,510580,ZZ500ETF
216,510590,平安500
217,510600,沪50ETF
218,510610,能源行业
219,510620,材料行业
220,510630,消费行业
221,510650,金融行业
222,510660,医药行业
223,510680,万家50
224,510700,百强ETF
225,510710,上50ETF
226,510800,上证50
227,510810,上海国企
228,510880,红利ETF
229,510900,H股ETF
230,511010,国债ETF
231,511210,企债ETF
232,511220,城投ETF
233,511230,周期债
234,511260,十年国债
235,511270,10年地债
236,511280,中期信用
237,511290,国债十年
238,511310,十年债
239,511600,货币ETF
240,511620,货币基金
241,511650,华夏快线
242,511660,建信添益
243,511670,华泰天金
244,511680,安信货币
245,511690,交易货币
246,511700,场内货币
247,511760,德邦货币
248,511770,金鹰增益
249,511800,易货币
250,511810,理财金H
251,511820,鹏华添利
252,511830,华泰货币
253,511850,财富宝E
254,511860,博时货币
255,511880,银华日利
256,511890,景顺货币
257,511900,富国货币
258,511910,融通货币
259,511920,广发货币
260,511930,中融日盈
261,511950,广发添利
262,511960,嘉实快线
263,511970,国寿货币
264,511980,现金添富
265,511990,华宝添益
266,512000,券商ETF
267,512010,医药ETF
268,512040,国信价值
269,512070,非银ETF
270,512090,MSCI易基
271,512100,1000ETF
272,512110,中证地产
273,512120,医药50
274,512150,A50ETF
275,512160,MSCI基金
276,512180,建信MSCI
277,512200,房地产
278,512210,景顺食品
279,512220,景顺TMT
280,512230,景顺医药
281,512260,500低波
282,512280,景顺MSCI
283,512300,500医药
284,512310,500工业
285,512330,500信息
286,512340,500原料
287,512360,MSCI国际
288,512390,MSCI低波
289,512400,有色金属
290,512500,中证500
291,512510,ETF500
292,512520,MSCIETF
293,512550,富时A50
294,512560,中证军工
295,512570,中证证券
296,512580,环保ETF
297,512600,主要消费
298,512610,医药卫生
299,512640,金融地产
300,512660,军工ETF
301,512680,军工基金
302,512700,银行基金
303,512770,战略新兴
304,512780,京津冀基
305,512800,银行ETF
306,512810,军工行业
307,512820,银行股基
308,512850,北京50
309,512860,MSCI中国
310,512870,杭州湾区
311,512880,证券ETF
312,512890,红利LV
313,512900,证券基金
314,512920,MSCI新华
315,512950,央企改革
316,512960,央调ETF
317,512980,传媒ETF
318,512990,MSCIA股
319,513030,德国30
320,513050,中概互联
321,513100,纳指ETF
322,513500,标普500
323,513600,恒指ETF
324,513660,恒生通
325,513680,建信H股
326,513900,港股100
327,518800,黄金基金
328,518880,黄金ETF
329,580012,云化CWB1
330,580013,武钢CWB1
331,580014,深高CWB1
332,580016,上汽CWB1
333,580017,赣粤CWB1
334,580019,石化CWB1
335,580020,上港CWB1
336,580021,青啤CWB1
337,580022,国电CWB1
338,580023,康美CWB1
339,580024,宝钢CWB1
340,580025,葛洲CWB1
341,580026,江铜CWB1
342,580027,长虹CWB1
343,600000,浦发银行
344,600001,邯郸钢铁
345,600002,齐鲁石化
346,600003,ST东北高
347,600004,白云机场
348,600005,武钢股份
349,600006,东风汽车
350,600007,中国国贸
351,600008,首创股份
352,600009,上海机场
353,600010,包钢股份
354,600011,华能国际
355,600012,皖通高速
356,600015,华夏银行
357,600016,民生银行
358,600017,日照港
359,600018,上港集团
360,600019,宝钢股份
361,600020,中原高速
362,600021,上海电力
363,600022,山东钢铁
364,600023,浙能电力
365,600025,华能水电
366,600026,中远海能
367,600027,华电国际
368,600028,中国石化
369,600029,南方航空
370,600030,中信证券
371,600031,三一重工
372,600033,福建高速
373,600035,楚天高速
374,600036,招商银行
375,600037,歌华有线
376,600038,中直股份
377,600039,四川路桥
378,600048,保利地产
379,600050,中国联通
380,600051,宁波联合
381,600052,浙江广厦
382,600053,九鼎投资
383,600054,黄山旅游
384,600055,万东医疗
385,600056,中国医药
386,600057,厦门象屿
387,600058,五矿发展
388,600059,古越龙山
389,600060,海信电器
390,600061,国投资本
391,600062,华润双鹤
392,600063,皖维高新
393,600064,南京高科
394,600065,*ST联谊
395,600066,宇通客车
396,600067,冠城大通
397,600068,葛洲坝
398,600069,银鸽投资
399,600070,浙江富润
400,600071,凤凰光学
401,600072,中船科技
402,600073,上海梅林
403,600074,*ST保千
404,600075,新疆天业
405,600076,康欣新材
406,600077,宋都股份
407,600078,澄星股份
408,600079,人福医药
409,600080,金花股份
410,600081,东风科技
411,600082,海泰发展
412,600083,博信股份
413,600084,中葡股份
414,600085,同仁堂
415,600086,东方金钰
416,600087,退市长油
417,600088,中视传媒
418,600089,特变电工
419,600090,同济堂
420,600091,ST明科
421,600092,S*ST精密
422,600093,易见股份
423,600094,大名城
424,600095,哈高科
425,600096,云天化
426,600097,开创国际
427,600098,广州发展
428,600099,林海股份
429,600100,同方股份
430,600101,明星电力
431,600102,莱钢股份
432,600103,青山纸业
433,600104,上汽集团
434,600105,永鼎股份
435,600106,重庆路桥
436,600107,美尔雅
437,600108,亚盛集团
438,600109,国金证券
439,600110,诺德股份
440,600111,北方稀土
441,600112,天成控股
442,600113,浙江东日
443,600114,东睦股份
444,600115,东方航空
445,600116,三峡水利
446,600117,西宁特钢
447,600118,中国卫星
448,600119,长江投资
449,600120,浙江东方
450,600121,郑州煤电
451,600122,宏图高科
452,600123,兰花科创
453,600125,铁龙物流
454,600126,杭钢股份
455,600127,金健米业
456,600128,弘业股份
457,600129,太极集团
458,600130,波导股份
459,600131,岷江水电
460,600132,重庆啤酒
461,600133,东湖高新
462,600135,乐凯胶片
463,600136,当代明诚
464,600137,浪莎股份
465,600138,中青旅
466,600139,西部资源
467,600141,兴发集团
468,600143,金发科技
469,600145,*ST新亿
470,600146,商赢环球
471,600148,长春一东
472,600149,ST坊展
473,600150,*ST船舶
474,600151,航天机电
475,600152,维科技术
476,600153,建发股份
477,600155,华创阳安
478,600156,华升股份
479,600157,永泰能源
480,600158,中体产业
481,600159,大龙地产
482,600160,巨化股份
483,600161,天坛生物
484,600162,香江控股
485,600163,中闽能源
486,600165,新日恒力
487,600166,福田汽车
488,600167,联美控股
489,600168,武汉控股
490,600169,太原重工
491,600170,上海建工
492,600171,上海贝岭
493,600172,黄河旋风
494,600173,卧龙地产
495,600175,美都能源
496,600176,中国巨石
497,600177,雅戈尔
498,600178,东安动力
499,600179,安通控股
500,600180,瑞茂通
501,600181,S*ST云大
502,600182,S佳通
503,600183,生益科技
504,600184,光电股份
505,600185,格力地产
506,600186,莲花健康
507,600187,国中水务
508,600188,兖州煤业
509,600189,吉林森工
510,600190,锦州港
511,600191,华资实业
512,600192,长城电工
513,600193,*ST创兴
514,600195,中牧股份
515,600196,复星医药
516,600197,伊力特
517,600198,*ST大唐
518,600199,金种子酒
519,600200,江苏吴中
520,600201,生物股份
521,600202,*ST哈空
522,600203,福日电子
523,600205,S山东铝
524,600206,有研新材
525,600207,安彩高科
526,600208,新湖中宝
527,600209,*ST罗顿
528,600210,紫江企业
529,600211,西藏药业
530,600212,江泉实业
531,600213,亚星客车
532,600215,长春经开
533,600216,浙江医药
534,600217,中再资环
535,600218,全柴动力
536,600219,南山铝业
537,600220,江苏阳光
538,600221,海航控股
539,600222,太龙药业
540,600223,鲁商置业
541,600225,天津松江
542,600226,瀚叶股份
543,600227,圣济堂
544,600228,ST昌九
545,600229,城市传媒
546,600230,沧州大化
547,600231,凌钢股份
548,600232,金鹰股份
549,600233,圆通速递
550,600234,ST山水
551,600235,民丰特纸
552,600236,桂冠电力
553,600237,铜峰电子
554,600238,*ST椰岛
555,600239,云南城投
556,600240,华业资本
557,600241,时代万恒
558,600242,中昌数据
559,600243,青海华鼎
560,600246,万通地产
561,600247,*ST成城
562,600248,延长化建
563,600249,两面针
564,600250,南纺股份
565,600251,冠农股份
566,600252,中恒集团
567,600253,天方药业
568,600255,梦舟股份
569,600256,广汇能源
570,600257,大湖股份
571,600258,首旅酒店
572,600259,广晟有色
573,600260,凯乐科技
574,600261,阳光照明
575,600262,北方股份
576,600263,路桥建设
577,600265,ST景谷
578,600266,北京城建
579,600267,海正药业
580,600268,国电南自
581,600269,赣粤高速
582,600270,外运发展
583,600271,航天信息
584,600272,开开实业
585,600273,嘉化能源
586,600275,ST昌鱼
587,600276,恒瑞医药
588,600277,亿利洁能
589,600278,东方创业
590,600279,重庆港九
591,600280,中央商场
592,600281,太化股份
593,600282,南钢股份
594,600283,钱江水利
595,600284,浦东建设
596,600285,羚锐制药
597,600286,S*ST国瓷
598,600287,江苏舜天
599,600288,大恒科技
600,600289,*ST信通
601,600290,华仪电气
602,600291,西水股份
603,600292,远达环保
604,600293,三峡新材
605,600295,鄂尔多斯
606,600296,S兰铝
607,600297,广汇汽车
608,600298,安琪酵母
609,600299,安迪苏
610,600300,维维股份
611,600301,ST南化
612,600302,标准股份
613,600303,曙光股份
614,600305,恒顺醋业
615,600306,商业城
616,600307,酒钢宏兴
617,600308,华泰股份
618,600309,万华化学
619,600310,桂东电力
620,600311,荣华实业
621,600312,平高电气
622,600313,农发种业
623,600315,上海家化
624,600316,洪都航空
625,600317,营口港
626,600318,新力金融
627,600319,亚星化学
628,600320,振华重工
629,600321,*ST正源
630,600322,天房发展
631,600323,瀚蓝环境
632,600325,华发股份
633,600326,西藏天路
634,600327,大东方
635,600328,兰太实业
636,600329,中新药业
637,600330,天通股份
638,600331,宏达股份
639,600332,白云山
640,600333,长春燃气
641,600335,国机汽车
642,600336,澳柯玛
643,600337,美克家居
644,600338,西藏珠峰
645,600339,中油工程
646,600340,华夏幸福
647,600343,航天动力
648,600345,长江通信
649,600346,恒力股份
650,600348,阳泉煤业
651,600349,富通昭和
652,600350,山东高速
653,600351,亚宝药业
654,600352,浙江龙盛
655,600353,旭光股份
656,600354,敦煌种业
657,600355,精伦电子
658,600356,恒丰纸业
659,600357,承德钒钛
660,600358,国旅联合
661,600359,新农开发
662,600360,华微电子
663,600361,华联综超
664,600362,江西铜业
665,600363,联创光电
666,600365,通葡股份
667,600366,宁波韵升
668,600367,红星发展
669,600368,五洲交通
670,600369,西南证券
671,600370,三房巷
672,600371,万向德农
673,600372,中航电子
674,600373,中文传媒
675,600375,华菱星马
676,600376,首开股份
677,600377,宁沪高速
678,600378,天科股份
679,600379,宝光股份
680,600380,健康元
681,600381,青海春天
682,600382,广东明珠
683,600383,金地集团
684,600385,山东金泰
685,600386,北巴传媒
686,600387,海越能源
687,600388,龙净环保
688,600389,江山股份
689,600390,五矿资本
690,600391,航发科技
691,600392,盛和资源
692,600393,粤泰股份
693,600395,盘江股份
694,600396,金山股份
695,600397,*ST安煤
696,600398,海澜之家
697,600399,*ST抚钢
698,600400,红豆股份
699,600401,*ST海润
700,600403,大有能源
701,600405,动力源
702,600406,国电南瑞
703,600408,*ST安泰
704,600409,三友化工
705,600410,华胜天成
706,600415,小商品城
707,600416,湘电股份
708,600418,江淮汽车
709,600419,天润乳业
710,600420,现代制药
711,600421,ST仰帆
712,600422,昆药集团
713,600423,*ST柳化
714,600425,青松建化
715,600426,华鲁恒升
716,600428,中远海特
717,600429,三元股份
718,600432,退市吉恩
719,600433,冠豪高新
720,600435,北方导航
721,600436,片仔癀
722,600438,通威股份
723,600439,瑞贝卡
724,600444,国机通用
725,600446,金证股份
726,600448,华纺股份
727,600449,宁夏建材
728,600452,涪陵电力
729,600455,博通股份
730,600456,宝钛股份
731,600458,时代新材
732,600459,贵研铂业
733,600460,士兰微
734,600461,洪城水业
735,600462,ST九有
736,600463,空港股份
737,600466,蓝光发展
738,600467,好当家
739,600468,百利电气
740,600469,风神股份
741,600470,六国化工
742,600472,包头铝业
743,600475,华光股份
744,600476,湘邮科技
745,600477,杭萧钢构
746,600478,科力远
747,600479,千金药业
748,600480,凌云股份
749,600481,双良节能
750,600482,中国动力
751,600483,福能股份
752,600485,信威集团
753,600486,扬农化工
754,600487,亨通光电
755,600488,天药股份
756,600489,中金黄金
757,600490,鹏欣资源
758,600491,龙元建设
759,600493,凤竹纺织
760,600495,晋西车轴
761,600496,精工钢构
762,600497,驰宏锌锗
763,600498,烽火通信
764,600499,科达洁能
765,600500,中化国际
766,600501,航天晨光
767,600502,安徽水利
768,600503,华丽家族
769,600505,西昌电力
770,600506,香梨股份
771,600507,方大特钢
772,600508,上海能源
773,600509,天富能源
774,600510,黑牡丹
775,600511,国药股份
776,600512,腾达建设
777,600513,联环药业
778,600515,海航基础
779,600516,方大炭素
780,600517,置信电气
781,600518,康美药业
782,600519,贵州茅台
783,600520,文一科技
784,600521,华海药业
785,600522,中天科技
786,600523,贵航股份
787,600525,长园集团
788,600526,菲达环保
789,600527,江南高纤
790,600528,中铁工业
791,600529,山东药玻
792,600530,交大昂立
793,600531,豫光金铅
794,600532,宏达矿业
795,600533,栖霞建设
796,600535,天士力
797,600536,中国软件
798,600537,亿晶光电
799,600538,国发股份
800,600539,*ST狮头
801,600540,新赛股份
802,600543,莫高股份
803,600545,卓郎智能
804,600546,山煤国际
805,600547,山东黄金
806,600548,深高速
807,600549,厦门钨业
808,600550,保变电气
809,600551,时代出版
810,600552,凯盛科技
811,600553,太行水泥
812,600555,海航创新
813,600556,ST慧球
814,600557,康缘药业
815,600558,大西洋
816,600559,老白干酒
817,600560,金自天正
818,600561,江西长运
819,600562,国睿科技
820,600563,法拉电子
821,600565,迪马股份
822,600566,济川药业
823,600567,山鹰纸业
824,600568,中珠医疗
825,600569,安阳钢铁
826,600570,恒生电子
827,600571,信雅达
828,600572,康恩贝
829,600573,惠泉啤酒
830,600575,皖江物流
831,600576,祥源文化
832,600577,精达股份
833,600578,京能电力
834,600579,天华院
835,600580,卧龙电气
836,600581,八一钢铁
837,600582,天地科技
838,600583,海油工程
839,600584,长电科技
840,600585,海螺水泥
841,600586,金晶科技
842,600587,新华医疗
843,600588,用友网络
844,600589,广东榕泰
845,600590,泰豪科技
846,600591,*ST上航
847,600592,龙溪股份
848,600593,大连圣亚
849,600594,益佰制药
850,600595,中孚实业
851,600596,新安股份
852,600597,光明乳业
853,600598,北大荒
854,600599,熊猫金控
855,600600,青岛啤酒
856,600601,方正科技
857,600602,云赛智联
858,600603,广汇物流
859,600604,市北高新
860,600605,汇通能源
861,600606,绿地控股
862,600607,上实医药
863,600608,ST沪科
864,600609,金杯汽车
865,600610,*ST毅达
866,600611,大众交通
867,600612,老凤祥
868,600613,神奇制药
869,600614,鹏起科技
870,600615,丰华股份
871,600616,金枫酒业
872,600617,国新能源
873,600618,氯碱化工
874,600619,海立股份
875,600620,天宸股份
876,600621,华鑫股份
877,600622,光大嘉宝
878,600623,华谊集团
879,600624,复旦复华
880,600625,PT水仙
881,600626,申达股份
882,600627,上电股份
883,600628,新世界
884,600629,华建集团
885,600630,龙头股份
886,600631,百联股份
887,600632,华联商厦
888,600633,浙数文化
889,600634,*ST富控
890,600635,大众公用
891,600636,三爱富
892,600637,东方明珠
893,600638,新黄浦
894,600639,浦东金桥
895,600640,号百控股
896,600641,万业企业
897,600642,申能股份
898,600643,爱建集团
899,600644,乐山电力
900,600645,中源协和
901,600646,ST国嘉
902,600647,同达创业
903,600648,外高桥
904,600649,城投控股
905,600650,锦江投资
906,600651,飞乐音响
907,600652,游久游戏
908,600653,申华控股
909,600654,ST中安
910,600655,豫园股份
911,600656,退市博元
912,600657,信达地产
913,600658,电子城
914,600659,*ST花雕
915,600660,福耀玻璃
916,600661,昂立教育
917,600662,强生控股
918,600663,陆家嘴
919,600664,哈药股份
920,600665,天地源
921,600666,奥瑞德
922,600667,太极实业
923,600668,尖峰集团
924,600669,*ST鞍成
925,600670,*ST斯达
926,600671,天目药业
927,600672,*ST华圣
928,600673,东阳光科
929,600674,川投能源
930,600675,中华企业
931,600676,交运股份
932,600677,航天通信
933,600678,四川金顶
934,600679,上海凤凰
935,600680,*ST上普
936,600681,百川能源
937,600682,南京新百
938,600683,京投发展
939,600684,珠江实业
940,600685,中船防务
941,600686,金龙汽车
942,600687,刚泰控股
943,600688,上海石化
944,600689,上海三毛
945,600690,青岛海尔
946,600691,阳煤化工
947,600692,亚通股份
948,600693,东百集团
949,600694,大商股份
950,600695,绿庭投资
951,600696,ST岩石
952,600697,欧亚集团
953,600698,湖南天雁
954,600699,均胜电子
955,600700,*ST数码
956,600701,*ST工新
957,600702,舍得酒业
958,600703,三安光电
959,600704,物产中大
960,600705,中航投资
961,600706,曲江文旅
962,600707,彩虹股份
963,600708,光明地产
964,600709,ST生态
965,600710,苏美达
966,600711,盛屯矿业
967,600712,南宁百货
968,600713,南京医药
969,600714,金瑞矿业
970,600715,文投控股
971,600716,凤凰股份
972,600717,天津港
973,600718,东软集团
974,600719,大连热电
975,600720,祁连山
976,600721,百花村
977,600722,金牛化工
978,600723,首商股份
979,600724,宁波富达
980,600725,ST云维
981,600726,华电能源
982,600727,鲁北化工
983,600728,佳都科技
984,600729,重庆百货
985,600730,中国高科
986,600731,湖南海利
987,600732,ST新梅
988,600733,北汽蓝谷
989,600734,实达集团
990,600735,新华锦
991,600736,苏州高新
992,600737,中粮糖业
993,600738,兰州民百
994,600739,辽宁成大
995,600740,山西焦化
996,600741,华域汽车
997,600742,一汽富维
998,600743,华远地产
999,600744,华银电力
1000,600745,闻泰科技
1001,600746,江苏索普
1002,600747,ST大控
1003,600748,上实发展
1004,600749,*ST藏旅
1005,600750,江中药业
1006,600751,海航科技
1007,600752,*ST哈慈
1008,600753,东方银星
1009,600754,锦江股份
1010,600755,厦门国贸
1011,600756,浪潮软件
1012,600757,长江传媒
1013,600758,红阳能源
1014,600759,洲际油气
1015,600760,中航沈飞
1016,600761,安徽合力
1017,600762,S*ST金荔
1018,600763,通策医疗
1019,600764,中国海防
1020,600765,中航重机
1021,600766,园城黄金
1022,600767,ST运盛
1023,600768,宁波富邦
1024,600769,祥龙电业
1025,600770,综艺股份
1026,600771,广誉远
1027,600772,S*ST龙昌
1028,600773,西藏城投
1029,600774,汉商集团
1030,600775,南京熊猫
1031,600776,东方通信
1032,600777,新潮能源
1033,600778,*ST友好
1034,600779,水井坊
1035,600780,通宝能源
1036,600781,辅仁药业
1037,600782,新钢股份
1038,600783,鲁信创投
1039,600784,鲁银投资
1040,600785,新华百货
1041,600786,东方锅炉
1042,600787,中储股份
1043,600788,*ST达曼
1044,600789,鲁抗医药
1045,600790,轻纺城
1046,600791,京能置业
1047,600792,云煤能源
1048,600793,宜宾纸业
1049,600794,保税科技
1050,600795,国电电力
1051,600796,钱江生化
1052,600797,浙大网新
1053,600798,宁波海运
1054,600799,*ST龙科
1055,600800,天津磁卡
1056,600801,华新水泥
1057,600802,福建水泥
1058,600803,新奥股份
1059,600804,鹏博士
1060,600805,悦达投资
1061,600806,退市昆机
1062,600807,*ST天业
1063,600808,马钢股份
1064,600809,山西汾酒
1065,600810,神马股份
1066,600811,东方集团
1067,600812,华北制药
1068,600813,ST鞍一工
1069,600814,杭州解百
1070,600815,厦工股份
1071,600816,安信信托
1072,600817,ST宏盛
1073,600818,中路股份
1074,600819,耀皮玻璃
1075,600820,隧道股份
1076,600821,津劝业
1077,600822,上海物贸
1078,600823,世茂股份
1079,600824,益民集团
1080,600825,新华传媒
1081,600826,兰生股份
1082,600827,百联股份
1083,600828,茂业商业
1084,600829,人民同泰
1085,600830,香溢融通
1086,600831,广电网络
1087,600832,东方明珠
1088,600833,第一医药
1089,600834,申通地铁
1090,600835,上海机电
1091,600836,界龙实业
1092,600837,海通证券
1093,600838,上海九百
1094,600839,四川长虹
1095,600840,新湖创业
1096,600841,上柴股份
1097,600842,中西药业
1098,600843,上工申贝
1099,600844,丹化科技
1100,600845,宝信软件
1101,600846,同济科技
1102,600847,万里股份
1103,600848,上海临港
1104,600849,上药转换
1105,600850,华东电脑
1106,600851,海欣股份
1107,600852,*ST中川
1108,600853,龙建股份
1109,600854,春兰股份
1110,600855,航天长峰
1111,600856,中天能源
1112,600857,宁波中百
1113,600858,银座股份
1114,600859,王府井
1115,600860,京城股份
1116,600861,北京城乡
1117,600862,中航高科
1118,600863,内蒙华电
1119,600864,哈投股份
1120,600865,百大集团
1121,600866,星湖科技
1122,600867,通化东宝
1123,600868,梅雁吉祥
1124,600869,智慧能源
1125,600870,*ST厦华
1126,600871,*ST油服
1127,600872,中炬高新
1128,600873,梅花生物
1129,600874,创业环保
1130,600875,东方电气
1131,600876,洛阳玻璃
1132,600877,ST嘉陵
1133,600878,*ST北科
1134,600879,航天电子
1135,600880,博瑞传播
1136,600881,亚泰集团
1137,600882,广泽股份
1138,600883,博闻科技
1139,600884,杉杉股份
1140,600885,宏发股份
1141,600886,国投电力
1142,600887,伊利股份
1143,600888,新疆众和
1144,600889,南京化纤
1145,600890,中房股份
1146,600891,秋林集团
1147,600892,大晟文化
1148,600893,航发动力
1149,600894,广日股份
1150,600895,张江高科
1151,600896,*ST海投
1152,600897,厦门空港
1153,600898,国美通讯
1154,600899,*ST信联
1155,600900,长江电力
1156,600901,江苏租赁
1157,600903,贵州燃气
1158,600908,无锡银行
1159,600909,华安证券
1160,600917,重庆燃气
1161,600919,江苏银行
1162,600926,杭州银行
1163,600928,西安银行
1164,600929,湖南盐业
1165,600933,爱柯迪
1166,600936,广西广电
1167,600939,重庆建工
1168,600958,东方证券
1169,600959,江苏有线
1170,600960,渤海汽车
1171,600961,株冶集团
1172,600962,国投中鲁
1173,600963,岳阳林纸
1174,600965,福成股份
1175,600966,博汇纸业
1176,600967,内蒙一机
1177,600969,郴电国际
1178,600970,中材国际
1179,600971,恒源煤电
1180,600973,宝胜股份
1181,600975,新五丰
1182,600976,健民集团
1183,600977,中国电影
1184,600978,宜华木业
1185,600979,广安爱众
1186,600980,北矿科技
1187,600981,汇鸿集团
1188,600982,宁波热电
1189,600983,惠而浦
1190,600984,建设机械
1191,600985,淮北矿业
1192,600986,科达股份
1193,600987,航民股份
1194,600988,赤峰黄金
1195,600990,四创电子
1196,600991,广汽长丰
1197,600992,贵绳股份
1198,600993,马应龙
1199,600995,文山电力
1200,600996,贵广网络
1201,600997,开滦股份
1202,600998,九州通
1203,600999,招商证券
1204,601000,唐山港
1205,601001,大同煤业
1206,601002,晋亿实业
1207,601003,柳钢股份
1208,601005,重庆钢铁
1209,601006,大秦铁路
1210,601007,金陵饭店
1211,601008,连云港
1212,601009,南京银行
1213,601010,文峰股份
1214,601011,宝泰隆
1215,601012,隆基股份
1216,601015,陕西黑猫
1217,601016,节能风电
1218,601018,宁波港
1219,601019,山东出版
1220,601020,华钰矿业
